Strategy;ALLCorALLD;AON2;Adaptive;Adaptive Pavlov;Adaptive Pavlov.1;Adaptive Tit Fo;AdaptorBrief;AdaptorLong;Aggravater;Alexei;Alternator;Alternator Hunt;Anti Tit For Ta;AntiCycler;Appeaser;Arrogant QLearn;Average Copier;BackStabber;Better and Bett;Bully;Burn Both Ends;Bush Mosteller;CAPRI;Calculator;Cautious QLearn;CollectiveStrat;Contrite Tit Fo;Cooperator;Cooperator Hunt;Cycle Hunter;Cycler CCCCCD;Cycler CCCD;Cycler CCCDCD;Cycler CCD;Cycler DC;Cycler DDC;DBS;Defector;Defector Hunter;Delayed AON1
BackStabber;0,98;3,0;1,04;3,0;3,0;3,02;3,0;2,52;2,96;3,0;2,94;3,02;4,87;4,54;3,0;2,5;3,02;2,98;1,38;4,88;1,46;2,15;3,0;1,17;2,45;0,99;3,0;3,02;4,84;3,02;4,12;3,86;3,58;3,58;2,95;2,29;3,02;0,98;3,02;3,0
Better and Bett;4,82;2,24;0,98;0,94;0,92;1,3;0,96;2,22;0,9;1,3;2,86;4,82;4,58;4,4;2,77;4,18;1,06;0,98;1,3;4,44;1,28;1,25;1,23;0,92;4,54;0,92;1,34;4,73;4,79;4,78;4,08;3,79;3,56;3,49;2,84;2,21;1,0;0,87;4,54;2,86
Bully;0,0;0,06;0,16;2,19;1,56;2,25;1,93;0,1;0,0;2,24;2,01;5,0;5,0;4,4;3,0;4,64;2,32;0,1;0,37;2,0;2,12;1,72;0,03;2,23;4,58;0,03;2,25;5,0;5,0;5,0;4,01;3,51;3,02;3,02;2,0;1,32;0,1;0,0;4,94;3,02
Burn Both Ends;3,17;2,02;3,16;1,05;1,06;1,1;1,34;1,65;1,0;1,14;2,53;3,24;2,43;3,04;2,12;3,14;2,52;1,54;1,31;2,38;1,09;1,58;1,03;1,1;3,08;1,0;1,29;3,23;3,13;1,08;2,98;2,9;2,76;2,75;2,55;2,02;3,16;1,0;3,25;2,06
Bush Mosteller;0,72;2,06;0,84;0,78;0,92;1,56;0,92;1,52;0,72;1,62;2,56;3,99;3,17;3,67;2,62;3,84;1,88;0,98;1,37;2,82;1,54;1,9;1,26;1,92;3,88;0,74;1,56;4,05;3,95;4,1;3,49;3,34;3,22;3,1;2,56;2,04;0,98;0,72;4,0;2,68
CAPRI;3,0;3,0;2,96;3,0;3,0;3,0;2,99;1,7;1,0;2,98;2,98;3,0;4,94;4,58;3,0;2,96;3,0;2,98;1,36;4,96;1,0;1,54;3,0;1,05;2,97;1,0;3,0;3,0;4,92;3,0;2,84;2,74;3,64;2,67;2,99;2,15;3,0;1,0;3,0;3,0
Calculator;4,83;1,85;2,98;1,05;1,05;1,08;1,72;2,46;1,0;1,16;2,94;4,85;4,72;2,9;2,04;2,96;2,02;1,27;1,4;2,26;1,1;1,92;1,05;1,06;2,94;1,0;1,08;4,81;3,02;4,8;4,2;3,88;3,57;3,58;2,96;2,29;1,27;1,0;4,83;2,05
Cautious QLearn;3,07;0,2;0,87;2,96;2,96;2,94;2,89;0,97;1,11;2,9;1,58;3,11;0,34;2,82;2,24;2,91;3,0;1,32;0,44;0,33;2,71;1,41;2,87;2,92;2,96;0,78;2,96;3,14;2,97;3,09;2,7;2,34;2,1;2,08;1,56;1,08;3,14;0,87;3,11;0,79
CollectiveStrat;4,99;2,35;1,11;1,03;1,03;1,03;1,07;2,39;1,0;1,03;2,98;4,99;4,92;4,58;3,01;1,43;1,07;1,09;1,4;4,96;1,03;2,1;1,03;1,03;1,91;2,99;1,03;4,99;4,99;4,99;4,33;3,99;3,67;3,67;3,0;2,32;1,09;1,0;4,99;3,01
Contrite Tit Fo;3,0;3,0;2,96;3,0;3,0;3,0;2,99;1,75;1,0;2,98;2,49;3,0;2,25;2,9;3,0;2,91;2,14;2,98;1,31;2,25;1,26;1,56;3,0;1,06;2,96;1,0;3,0;3,0;2,98;3,0;2,84;2,74;2,67;2,67;2,5;1,98;3,0;1,0;3,0;3,0
Cooperator;3,0;3,0;0,09;3,0;3,0;3,0;2,98;1,1;2,96;2,98;1,5;3,0;0,02;2,7;3,0;2,79;3,0;2,97;0,4;0,0;2,66;1,42;3,0;0,28;2,79;0,02;3,0;3,0;0,06;3,0;2,5;2,25;2,01;2,01;1,5;0,99;3,0;0,0;3,0;3,0
